Bangla,English
সে সব মেয়েরা কারো সখের নারী হতে পারেন নাই তারাই শেয়ার দেন,Those women who couldn’t become someone’s dream girl—share this post.
যারা রাতে গুড নাইট মেসেজ পান না তারাই শেয়ার দেন,"If you don’t get a good night message, share this post."
"যারা আজকের ভূমিকম্প টের পায় নাই এদের মানুষের চামড়া না, গন্ডারের চামড়া!","If you didn’t feel today’s earthquake, you must have rhino skin, not human skin!"
বিয়ের বয়স হলে শেয়ার দিন!,Share this post if you’ve reached marriage age!
"দেখতে সুন্দর না, টাকাও নাই মেধাও নাই তাও কিছু মানুষ আমাকে হিংসে করে!","Not attractive, no money, no merit—yet some people are jealous of me!"
"এই মুহুর্তে সবচেয়ে কষ্টে আচে তারাই যাদের পাটনারও নাই, কারেন্ট ও নাই!",The ones struggling the most right now are those with no partner and no electricity!
এমন ঝড়ের রাতে পাটনারের দরকার নাই কারেন্ট থাকলেই বাঁচি,"On stormy nights like this, you don’t need a partner—just electricity is enough to survive."
পোস্টে ১০০ লাভ রিএক্ট পড়লে প্রোফাইল ছবি চেইঞ্জ করবো!,"If this post gets 100 love reacts, I’ll change my profile picture!"
পার্টনার নিয়ে সুয়ে থাকার ওয়েদারে ইনবক্সে কথা বলার মতো একটা মানুষও নাই!,There’s no one to chat with in the inbox on nights like this when partners are lying together.
একজন মেচিউর মানুষ কখনো প্রতিদিন ফেসবুকে পোস্ট করে না।,A mature person doesn’t post on Facebook every day.
কিছু না পড়েই বীরের মতো পরীক্ষা দিতে যাওয়া নিলজ্জরা শেয়ার কর!,Those who boldly go into exams without studying—share this post!
অংকে বইয়ের স্রোতের বিপরীতে নৌকা চালানো সেই পাকনা মাঝি কি গন্তব্যে পৌচ্ছাতে পেরেছে?,Did that clever boatman rowing against the current of math ever reach his destination?
লাইফে যে পরিমান পোস্ট করেছি এতোদিনে মেইবি পোস্ট গ্রাজুয়েট হয়ে গেছি!,I’ve posted so much by now that I must have graduated in posting!
আমার প্রোফাইল দেখে আপনার কী মনে হয়?,What do you think when you see my profile?
যেখানে মন পুড়ে ছাই হয়ে গেছে সেখানে সামান্য গরম তো কিছুই না!,"If your heart has already burned to ashes, this heat is nothing!"
"আজকে বিশ্ব চা দিবস,",Today is International Tea Day.
"আর কয়টা দিন আমার পাগলামি সহ্য করেন,বিবাহ করে ফেললে অনলাইনে আর আসবো না।","Just tolerate my craziness for a few more days—once I get married, I’ll stop coming online!"
চরিত্র খারাপ হইলে শেয়ার দিন!,"If you have bad character, share this post!"
"আমাকে একটা প্রশ্ন করেন, রিপ্লাই দিয়ে আমিও একটা পাল্টা প্রশ্ন করবো!",Ask me a question—I’ll reply and ask you one back!
"শ্যামলা রঙ একটা নাটকবাজ রঙ,",Brown skin—it’s a drama queen color.
যাদের বয়ফ্রেন্ড বা হাসবেন্ড নাই তারা অযথা শাড়ি পরে ঢং করবেন না!,"If you don’t have a boyfriend or husband, don’t wear a saree and act all fancy for no reason!"
"কিছু মানুষ কে সাপে কামড় দিলে,অই সাপ মরে যাবে!","If a snake bites some people, the snake will die instead!"
লাস্টবার যখন ইনবক্সে গুড মর্নিং মেসেজ পেয়েছিলাম তখন আমি স্কুলে পড়ি!,"The last time I got a ""Good morning"" message in my inbox, I was still in school!"
কেও আমাকে ভালোবাসলো কি বাসলো না আই ডোন্ট কেয়ার,Whether someone loves me or not—I don’t care.
"রাফসানের দোষ কেমনে দেই। আমি নিজেও একজন ডিফল্টার, এককালে ইমারজেন্সি ব্যালেন্স নিয়া আর লোন পরিশোধ করি নাই!",How can I blame Rafsan? I’m a defaulter too—I once took an emergency loan and didn’t pay it back!
বাঙ্গালি অন্যের বিপদকে তার ‘পাপের ফল’,Bengalis always attribute others' misfortune to their ‘bad karma.’
সারাজীবন খারাপ স্টুডেন্ট চিলাম রেজাল্ট নিয়া কোনদিন টেনশান করা লাগে নাই!,I’ve always been a bad student—never had to worry about results!
বৃষ্টি আসলে ছাদে ভিজতে পারিনা কারণ আমি টিনের ঘরে থাকি!,"When it rains, I can’t get wet on the roof because I live in a tin house!"
"পড়াশোনার প্রেশারে দেওয়ালে পিঠ ঠেকে গেছে, এখন হেলান দিয়ে ফোন টিপতেচি!","The pressure of studies has pinned me against the wall, now I’m leaning on it while scrolling through my phone!"
আমি আর অনলাইনে না আসলে যারা মিস করবেন তারা সেড রিএক্ট দেন!,"If I stop coming online, those who’ll miss me, give a sad react!"
চেহারা খারাপ হওয়ার এই একটা সুবিধা কেউ প্রপোজ টপোজ করে ডিস্টার্ব করেনা!,Being unattractive has one benefit—nobody bothers me with proposals!
আমি শুধু পেইসবুকেই পটর পটর করি বাস্তবে আমি অনেক ইন্টুভাট!,"I babble on Facebook, but in real life, I’m very introverted!"
আমি বিয়ে করে ফেললে তোমরা কি আমাকে আনফ্রেন্ড করে দিবে ?,"If I get married, will you all unfriend me?"
আমি বেশি কথা বলিনা দুই একটা কথা বলি এতেই মানুষের শত্রু হয়ে যাই,"I don’t talk much—just a few words, and that’s enough to make enemies!"
আমি কারো সাথে ভয়েস কলে কথা বলিনা কারণ আমার ভয়েস সুনলে মানুষ হার্টফেল করে মরে যাবে!,"I don’t talk to anyone on voice calls because if they hear my voice, they’ll die of a heart attack!"
"ভাল ছেলে মেয়েরা রাত দশ টার আগে ঘুমিয়ে পড়ে, যেমন আমি!",Good boys and girls sleep before 10 PM—just like me!
"ভালবাসতো র মতো আজাইরা সময় আমার নাই,আমি ঘুম আর ফোন টিপা নিয়ে ব্যস্ত !",I don’t have time for something as pointless as love—I’m busy sleeping and scrolling on my phone!
"এইযে পরীক্ষার দিন সকালে পড়ে পাশ করি, কই এগুলো তো কোনো সংবাদ মাধ্যমে দেয় না!","I pass exams by studying on the day of the exam, yet the media never reports this!"
এখন পর্যন্ত একটাও প্রেম করতে পারি নাই বলে বাসার মানুষও ইনচাল্ট করে,"I haven’t had a single relationship yet, and my family insults me for it."
পড়ালেখা নিয়ে চিন্তা করিনা চিন্তা করি পড়ালেখা করে কি করবো,I don’t worry about studying—I worry about what I’ll do with it!
নিউজফিড দেখে মনে হচ্ছে একমাত্র আমি আমার মা কে ভালোবাসি না!,"Looking at my newsfeed, it seems like I’m the only one who doesn’t love their mom!"
মা দিবসে শাশুড়ি আম্মাকে দেখার জন্যে সকাল থেকে অপেক্ষা করতেছি,Waiting since morning to see my mother-in-law on Mother’s Day!
আমার সাথে দেখা হলে কি খাওয়াবেন?,What will you treat me to if we meet?
লিস্টের একজনের মা'কে শ্বাশুড়ি মা দিবসে শুভেচ্ছা!,Happy Mother’s Day to the mother of someone on my list—my future mother-in-law!
আমি একা একা হাসতে পারতেছি না।,I can’t laugh on my own!
"যারা প্রেম করো, তোমরা আমাকে আনফ্রেন্ড করে দাও, তোমাদের রং তামাসা আমার সহ্য হচ্ছে না!","If you’re in a relationship, unfriend me—your flirting is unbearable!"
আমি রুম গোছানোকেই লাইফ গোছানো মনে করি। এছাড়া লাইফ কেমনে গোছায় আমার জানা নেই।,I consider tidying up my room as tidying up my life—I don’t know how to tidy anything else.
আমি ছবিতেও সুন্দর না বাস্তবেও সুন্দর না ধন্যবাদ!,I’m not attractive in photos or in real life—thanks for that!
"যারে পছন্দ করি তারে পটাতে পারিনা, আমারে যে পছন্দ করে সেও আমারে পটাতে পারেনা! এভাবে চলছে জীবন","The one I like, I can’t win over—the one who likes me can’t win me over—this is how life goes on."
নিজের ফেইল আটকানো থেকে স্টুডেন্টের ফেইল আটকানোর টেনশন বেশি,"More than worrying about my own failures, I worry about my students' failures."
আজ বিশ্ব গাধা দিবস সবাই আমাকে শুভেচ্ছা জানাও,Today is World Donkey Day—everyone wish me well!
"অনেক দিন ধরে বই খুলিনা, নিজেও পড়িনা শয়তানকেও পড়তে দেইনা!",I haven’t opened a book in ages—neither do I study nor let the devil study!
লোক লজ্জায় ভয়ে বলি সিঙ্গেল লাইফ বেটার আসলে আমারে কেউ চয়েজ করেনা,"Out of embarrassment and fear, I say single life is better—but in reality, nobody chooses me."
"রোমান্টিক ওয়েদারে তোমরা পাটনারের মেসেজ করো, আমি ঘুমালাম গুড নাইট!","In this romantic weather, while you’re texting your partner, I’m going to sleep—good night!"
"শুধু আজকে রাতে মেসেজ করার জন্য একটা মানুষ চাই, রাজি তাকলে কেয়ার দেও","Just for tonight, I want someone to chat with—if you’re interested, give a care react."
সিঙ্গেল হিসাবে এমন উস্কানিমূলক ওয়েদার বয়কট করলাম,I’m boycotting this provocative weather as a single person.
এমন রোমান্টিক ওয়েদারেও যাদের কথা বলার কেউ নাই পিলিজ আইডি ডিলেট করে দেন!,"If you have no one to talk to in this romantic weather, please delete your ID!"
সার্কেলের সবাই খারাপ পরিক্ষা দেয় কিন্তু রেজাল্ট শুধু খারাপ হয় আমার!,"Everyone in the circle does badly in exams, but only I get bad results!"
"কার জন্য লয়াল হয়ে আছি জানিনা,এই লয়ালের চক্করে না আবার সালমান খান হয়ে যাই!",I don’t even know who I’m being loyal to—just hope I don’t end up like Salman Khan in this loyalty game!
মেঘলা দিনে পাটনারের সাথে রিকশায় পুরো শহর ঘুরতে পারিনা কারণ আমি গেরামে থাকি,"On cloudy days, I can’t take a rickshaw ride with a partner because I live in the village."
ভালবাসতো অনেক দামি জিনিস সমস্যা হচ্ছে আমি গরিব,"Love is an expensive thing—the problem is, I’m poor."
মানুষ আমাকে কেনো বালবাসবে এমন একটা কারণ তো নিজেই খুঁজে পাইনা!,Why would anyone love me when I can’t find a reason myself?
"টাকারও গরম নাই, রুপেরও গরম নাই, মেধারও গরম নাই আছে শুদু মাথা গরম!","No arrogance of money, looks, or talent—but my head is always hot!"
"আমি যে কলেজে পড়ি সেখানে না আমারে কেউ চিনে, না আমি কাউরে চিনি, এতিমের মতো যাই আসি","In the college I attend, no one knows me, and I know no one—it’s like I’m an orphan."
"যারা আমাকে লাইফ পার্টনার হিসাবে পেতে চাও তারা লাভ রিএক্ট দেও, বাসায় জানাবো!","Those who wants me as your life partner, give a love react—I’ll let my family know!"
আমার ফেইসবুকে পোস্ট দেখলে আমার বিয়ে ক্যান্সেল হয়ে যাবে,My Facebook posts will get my wedding canceled.
বিয়ের পরে কেমনে এত আবোল তাবোল পোস্ট করবো তা ভাবলেই ডিপ্রেশন বেড়ে যায়,Thinking about how I’ll post nonsense after marriage gives me depression!
"মানুষ শুধু ভদ্রতার খাতিরে আমাকে লিস্টেরেকেছে,আসলে আমাকে কেউ পছন্দ করেনা!","People have added me to their list out of politeness, but nobody actually likes me!"
পরের বাসায় ঘুরে ঘুরে টিউশন করানো কামলাদের জানাই মহান শ্রমিক দিবসের শুভেচ্ছা!,Happy Labor Day to those who go door-to-door teaching as tutors!
"আগামিকাল শ্রমিক দিবস,",Tomorrow is Labor Day.
"বিয়ে করে ফেলাই ঠিক ছিলো, পড়ালেখা করার সিদান্ত টা বাড়াবাড়ি হয়ে গেছে!",Getting married would’ve been a better decision than deciding to study!
রাত ১২ টার পরে সবাই ইনবক্সে বিজি তখন আমি নিউজফিডে পাগলের মতো ঘুরি,"After midnight, everyone’s busy in the inbox, while I’m scrolling through the newsfeed like a madman."
পড়ালেখার অভিনয় করে বিয়ে ঠেকিয়ে রাখাই আমার জীবনে র সবচেয়ে বড় এচিবমেন্ট!,Pretending to study to delay marriage is my biggest achievement in life!
ছোট বেলায় পাগল দেখলে ভয় পেতাম বড় হয়ে দেখি আমিই সবচেয়ে বড় পাগল,"As a child, I was scared of crazy people—growing up, I see I’m the biggest lunatic!"
ভালো ছেলে মেয়েরা ১২ টার পরে ১ মিনিটও রাত জাগেনা,Good boys and girls don’t stay up a minute past midnight.
"জ্ঞান দিয়ে লাভ নাই, ভালো একটা মানুষের সন্ধান দেন বিয়ে করে সংসার করি",No point in giving advice—find me a good person to marry and settle down with.
জীবনটা মাটির চুলার মতো হয়ে গেছে বাঁশ একটা শেষ হওয়ার আগেই আরেকটা ঢুকায় দেয়,"Life feels like a clay stove—before one stick of firewood burns out, another one is put in!"
ছেলেরা সবচেয়ে সুখে থাকে কখন জানেন?,Do you know when men are the happiest?
"একইসাথে মিমস, ইমোশোনাল পোস্ট , রোমান্টিক পোস্ট শেয়ার করার অসীম ক্ষমতা নিয়ে জন্মানো আমি!","Born with the immense power to share memes, emotional posts, and romantic posts all at once!"
"আমার চাঁদ দেখা লাগেনা, আমি নিজেই চাঁদ যখন ইচ্ছে হয় আয়নার সামনে গিয়া নিজেরে দেখি!",I don’t need to see the moon—I look in the mirror whenever I want to see one!
আমার ভিতরে যে একটা টেলেন্ট খুঁজে দিতে পারবে তাকে ট্রিট দিবো,"Whoever can discover the hidden talent inside me, I’ll treat them!"
আমাকে মানুষ পছন্দ করবে তার একটা কারণ বলেন?,What’s a reason someone would love me?
ইদের পরে যারা পড়তে বসবে বলছিলা তাদের কি সিলেবাস শেষ ?,Those who said they'd start studying after Eid—did you finish your syllabus yet?
যার অন্তর পোড়া তার চেহারা পুড়লে কিছু যায় আসেনা!,"If your heart is burning, burning your face won’t make a difference!"
একজনের কথা আরেকজনকে না লাগিয়ে গাছ লাগান!,"Instead of passing someone's words to others, plant a tree!"
যেদিন চুমু খাওয়ার জন্য ঝোপঝাড় থাকবেনা সেদিন বুঝবি গাছের কি মর্ম,"The day there are no bushes left for kissing, you'll understand the true value of trees."
যদি দেকো চেহারা পুড়ে পাতিলের তলা হয়ে গেচে তাহলে কি আনবন্ধু করে দিবা?,"If your face has burned and looks like the bottom of a pot, will you unfriend me?"
"না আছে আমার ব্যক্তিগত চাঁদ, না হইতে পারলাম কারো ব্যক্তিগত চাঁদ, আমি বোধহয় সূর্য!",I have neither my own personal moon nor became someone else's personal moon—perhaps I’m the sun!
যে গরম আকিকা দিয়ে নিজের একটা আরবি নাম রাকবো ভাবছি!,"With this heat, I’m thinking of naming myself with an Arabic name through an Aqeeqah ceremony!"
অহংকার পতনের মুল শীতকালে ফ্লোরে পা দেই নাই এখন অর্ধউলঙ্গ হয়ে ফ্লোরে শুয়ে আচি,"Pride leads to downfall—in winter, I didn’t set foot on the floor, and now I’m half-naked, lying on it in this heat!"
"গাছ লাগাতে বলেন কেউ লাগাবেনা, গাছের পিছনে গিয়া লাগাতে বলেন সব হাজির হয়ে যাবে!","If you ask people to plant a tree, no one will show up. But if you ask them to hide behind a tree, everyone will be there!"
"গরমে সব ভুলে গেছি,",I’ve forgotten everything in this heat.
মন চাইতেছে সেন্ট মার্টিন গিয়া কচি ডাব খাইয়া সাগর পাড়ে শুয়ে থাকি,"I feel like going to Saint Martin’s, drinking a fresh coconut, and lying on the beach."
গরমে দুনিয়া বন্ধ হয়ে গেলেও তোমার জন্য আমার মনের দরজা সবসময়ই খোলা,"Even if the world shuts down because of the heat, the door to my heart will always remain open for you."
গরমের জন্য স্কুল কলেজ বন্ধ দিলো ভার্সিটির স্টুডেন্টদের কি গরম লাগেনা ?,Schools and colleges are closed because of the heat—don’t university students feel hot too?
প্রথম দেখায় আমাকে সম্পর্কে কি ভেবেছিলে ?,What was your first impression of me?
"সকালে যার গুড মর্নিং মেসেজ আসেনা তার দিন নাই, ২৪ ঘন্টাই রাত!","If you don’t get a ""Good morning"" message in the morning, your whole day is night—24 hours of darkness!"
রোদে পুড়ে চেহারা কালো হতে পারে কিন্তু মন আমার ফকফকা সাদা!,"The sun may burn my face, turning it black, but my heart remains spotless white!"
এক বরিশাইল্লা অন্তর পুড়াইছে এখন গরমে চেহারা পুড়তেছে!,"A Barishal native burned my heart, now my face is burning in the heat!"
যদি জানো এই গরমেও আমার ঘুমাতে কাথা লাগে তাহলে কি আমাকে বিয়ে করবেনা?,"If you know that even in this heat, I need a blanket to sleep, will you marry me?"
যারা স্টুডেন্ট খারাপ ক্ষতিপূরণ হিসাবে আল্লাহ তাদের বিলিয়েন্ট পার্টনার দিবে,Bad students will be compensated by Allah with brilliant partners.
চাইলে প্রেম আমিও করতে পারি সমস্যা হলো আমারে কেউ চয়েজ করেনা,"I can fall in love too, the problem is that no one chooses me."
এই সামান্য গরমে যারা সহ্য করতে পারো না তারা আমারে পাইলে কেমনে সহ্য করবা!,"If you can’t bear this little heat, how will you endure me if you get me?"
আমাকে অনেকেই চায় তাই কারো হতে পারছিনা কারণ আমি কারো মন ভাংতে চাইনা!,"Many people want me, but I can’t be anyone’s because I don’t want to break anyone’s heart!"
আমি জানি আমার রাগ বেশি কিন্তু মানুষ হিসাবে আমি হিরার টুকরা,"I know I have a bad temper, but as a person, I’m a gem!"
"দুনিয়াটা ঘুরতে দেন, দারুণ ভাবে ফিরে আসবে!",Let the world go for a spin—it’ll come back to you in a wonderful way!
"ঐ না মাইরেন না ভাই,","Hey, don’t hit me, brother!"
"নারীর মুখে মধু,অন্তরে টাকা","A woman’s mouth is sweet, but her heart is full of money."
আমিও ঘুমাইতে যাচ্ছি,I’m going to sleep too.
আমি কিন্তু ম্যাথ ডিপার্টমেন্টের। তাহলে কি আমার ছেলে মেয়ে ম্যাথ পারদর্শী মা পাবে?,I’m from the Math department—so will my kids get a math expert mom?
তুমি উপজাতির চাকিব,You are the Chakib of the tribe!
এই রকম লিংক থাকলে দিও প্রিয়,"If you have such a link, share it, dear."
ফেইল করলে আমারে বিয়া কইরো সাকিপ,"If you fail, marry me, Sakib!"
পানি গরম করা ছাড়া আর কোনো বাল ওও পারি না।,"Besides boiling water, I can’t do anything useful."
বোলোক দিয়েন না। আফনাকে অনেক মিছ করিভো।,Don’t forget me! I will miss you a lot.
আমিও আর একটা বছর দেখি,"I’ll see for another year, then we’ll see."
তোমার বয়সের দোষ,"It’s just your age, dear!"
"ঘুমানোর আগে একটা কথা বলে যাই, সখি তোরা প্রেম করিও না পিরিত ভালা না।","Before I sleep, let me say this—friend, don’t fall in love, for love is not good!"
সন্ধা লাগলেই ঘুমিয়ে যাই৷ ভালোবাসার কথা জানাবো কি করে,"As soon as evening falls, I go to sleep. How will I ever express love?"
আমিও সাকিপ তোমার মত,"I’m just like you, Sakib!"
কতো আঘাত পেলাম আজ অবধি জেদ হলোনা,"I’ve been hurt so many times, yet I’ve never held a grudge."
এতো বিলাসিতা করার সময় কই ?,Where’s the time for such luxury?
স্পষ্টভাষী & সাহায্যকারী,Honest speaker and helpful.
"অথচ আমাদের স্লোগান ছিলো,""মোরা একটি প্রাণকে বাঁচাবো বলে যুদ্ধ করি.","Yet, our slogan was: ""We fight to save just one life."""
"ছাত্রলীগও পোস্ট দেয়,মেধাবী হওয়ার চেয়ে মনুষ্যত্ব অর্জন করা বেশি প্রয়োজন",Even the Chhatra League makes posts—it’s more important to gain humanity than merit.
আর এর বিচার যদি না হয় তাহলে হাসিনা আর ছাত্রদের মাঝে তফাৎ খুঁজে পাবো নাহ দুইটাই এক হবে,"If justice isn’t served for this, then we’ll find no difference between Hasina and the students—they’ll both be the same!"
"হাতে টাকা থাকলে এমন উড়া উড়ি, কিছু সময়ের জন্য ঘুড়ি হইয়া যাই।","When there’s money in hand, I feel like flying away, just like a kite for a while!"
শিক্ষা নেওয়ার দরকার নাই,No need to learn anything anymore.
কথা সত্য সাকিপ,"You’re right, Sakib."
একজন সরকারি কর্মকরতার মনে ভাব,The mind of a government officer.
আফসানা মিমি লে দেলাম,"Afshana Mimi, I give it to you!"
এই সুযোগ অল্প সময়ের জন্য,This offer is for a limited time only!
যারা পড়াশোনার পাশাপাশি পার্টটাইম ফ্রীতে ইনকাম করতে চান তারা আমাকে নক করেন অথবা কমেন্টের মাধ্যমে জানান।,"Those who want to earn part-time while studying for free, knock me or comment."
গণ বিবাহে পার্টনার কি বাসা থেকে নিয়ে যেতে হবে? নাকি ওরা দেয়?,"For mass marriages, do you have to bring your own partner, or do they provide one?"
এটাও বাদ দিয়ে দিছি,I’ve quit that too.
টিক বলেচ সাকিপ,Sakib spoke the truth.
এই গরমে টয়লেট এ দ্বিতীয় গোসল হয়ে যায়।,"In this heat, the second bath happens right in the toilet."
"কথাই বলবো না,",I won’t say a word.
আমাকে সামনে থেকে দেখলে মানুষ ভাবে আমি বোবা,"When people see me in person, they think I’m mute."
প্লিজ ডাকবেন।এই আন্দোলন হলে অন্তত এটেন্ড করতে পারবো,Please call me. At least I’ll be able to attend if this movement happens.
প্রথমটার সাহস করেছি,I’ve gathered the courage for the first time.
ধন বলেছেন ভাই সেই হইছে,"You said it right, brother, it worked."
আমার হাতের ফোনটাও ভাঙা লাগলে বলো। তোমার জন্য ১কোটিতে দিয়ে দিব,"Even if my phone breaks, let me know—I’ll buy you one for 1 crore Taka."
তুমিও আমার মত সুদানিরফুয়া তাই,"You’re like me, son of a bitch!"
সালসা খাইছে আরকি,"Has salsa hit you too, or what?"
সাকিবের আজকাল বানান ভুল হয়না,Sakib doesn’t make spelling mistakes these days.
অন্যের কথা বাদ দিয়া লাভ নাই। তারাও আমারে মাফ করতে পারে নাই।,"Forget about others—it doesn’t matter, they haven’t forgiven me either."
দোষ আপ্নাদেরি ছিল।নিজেরা নিজেদের খমা করে দিয়েন,The fault was yours—please forgive yourselves.
এই ঘটনায় শেখ হাসিনা কে ১ নাম্বার আসামি ও ৫০০ জনকে অজ্ঞাত আসামি করে মামলার জোর দাবি জানাচ্ছি।,"In this incident, I demand Sheikh Hasina to be named as the main accused, along with 500 unnamed ones."
এমন ভালবাসতো র দরকার নাই আপনার মরন লাগতো না,I didn’t need such love—you didn’t have to die for it.
তোমার এখন একমাত্র উপায়!,Now your only option is this!
দোকানদার কি ডিম পেড়ে দেবে,Will the shopkeeper lay eggs for you?
এই ধরনের ভুল কেউ করবেন না,Don’t make mistakes like this again.
শেষ চেস্টা নিজেকে পড়ামুখী করার!,My last attempt to focus on studies!
ঐ আপু না প্লিজ,"Hey sis, no, please!"
কারার ঐ লৌহ কপাট ভেঙে ফ্যাল করলে লোপাট,"If you break those iron gates, they’ll disappear."
একেবারেই বিয়াতিদের মতো,Absolutely like those who’re already married.
তোমাকে লাগবে সাকিপ,"I’ll need you, Sakib!"
আজ কয়জনের সংসার ভাঙে কে জানে,"How many marriages will break today, who knows?"
"আমিও পাই নি,তাও হাহা দিছি","I didn’t get one either, but still gave a laugh."
নাটক কম করো পিও।ছবি টা কাইটা লাইছো। আমরা ত তোমার মত এইরকম চিঠি আমি পাই নাই,"Stop the drama, Piu—you’ve edited the picture. We’re not like you, I’ve never received such a letter!"
মনের শান্তনাই বড় শান্তনা,Peace of mind is the greatest comfort.
তোমার এতো বানান ভুল সহ্য করি তার কাছে তো হাতের লেখা কিছুুই না,"I tolerate your spelling mistakes, so to me, your handwriting means nothing."
মোবাইল টাই যথেষ্ট জীবনটারে শেষ করার জন্য,This mobile phone is enough to ruin your whole life.
আপনে হাউন আঙ্কেল,"You are the ""How to uncle!"""
দান করলে এমন করে করা দরকার,"If you donate, do it like this!"
কী ব্যাপার তোমার কাছে এগুলো পোষ্ট আশা করিনা,What’s the matter? I didn’t expect such posts from you.
এটা তো ফেইক আইডি,This is a fake ID.
হাসিনা আমলে পড়তে বসা আমি,I’m studying during Hasina’s regime.
"আমার ১০টা পোস্টে লাইক দিয়ে আসো,আমি তোমার ১টা তেও দিতে পারব না।","Like 10 of my posts, but I won’t even like one of yours."
তৈরি হয় নতুন উপন্যাস,A new novel is being created.
পোষ্ট করেও মনের ভাব প্রকাশ করতে পারলাম না,I couldn’t even express my feelings through this post.
"বেশি না ২০ টা লাক্ষ টাকা যদি কেউ ফেলায় যাইত আমার ঘরে, বিয়া টা আজই হয়ে যেত","Not too much, just 2 million—if someone dropped it in my house, I’d get married today."
এই পোস্ট দেখে,After seeing this post...
যাদের মতো হতে বলতো তারা প্রত্যেকে বেড়াইতে গেছে এবং ধড়া খাইছে,Those who told me to be like them—they all went on trips and got caught.
মন খারাপ হলেই আপনার আইডিতে চলে আসি,"When I’m upset, I come to your ID."
তোর নিজেরই তো নামের ঠিক নাই রে! জন্ম তো অবশ্যই পতিতার ঘরে।,"You don’t even know your own name, kid! Of course, you were born in a prostitute’s house."
তর ও জন্মের ছিল,So you were born too.
তাই তো বলি আমাদের ভোটার আইডি কার্ডেই এতো সমস্যা হয় কেনো?,That’s why I say—why do we have so many problems with our voter ID cards?
আচ সাকিপ ভাই,"Right, Sakib Bhai!"
তুমি আমাকে এই বলতে পারলে সাকিপ,"If you could say that to me, Sakib..."
মিশন ট্রাফিক পুলিশ !,Mission Traffic Police!
আনসার কে বারবার আনারস পরি আমি,I keep calling the Ansar forces ‘pineapple’.
এই পৃথিবীতে যে কারনে নোবেল পেয়েছে।,The same reason they won a Nobel Prize in this world.
"পোস্ট ডিলিট কর,",Delete the post.
মাশাল্লাহ অনেক সুন্দর,"Masha’Allah, very beautiful!"
আবাল এর বাচ্চা খরুনাময় না করুনাময় হবে,Will this son of a fool be pitiful or merciful?
চুরি-ডাকাতি ছাড়া ওরা কি জীবনে আদৌও কিছু করসে,"Other than theft and robbery, have they ever done anything in life?"
তারা যুদ্ধে ঘোষণা করলে আমরা হামাস হব,"If they declare war, we’ll become Hamas!"
শুদ্ধ বাংলা লিখা তোরে কে শিখাইল রে লুইচ্চা সাকিপ?,"Who taught you to write proper Bengali, you shameless Sakib?"
আকাশ তো কাদছেই সাথে কিছু ষড়যন্ত্রের জন্য এসব হচ্ছে এর বিচার অবশ্য হবে,"The sky is crying, and some conspiracies are happening—justice will be served for this."
আল্লাহ সবাইকে রক্ষা করুন,May Allah protect everyone.
দক্ষিণ পাশের অবস্থা ও খারাপ,The southern side’s condition is also bad.
বলছি ফারাক্কার পাশে বাঁধ টা কতো দিনে তৈরী হবে,I’m asking—how long will it take to build the dam next to Farakka?
"সুদিন আসে সাধু বেশে,",Good days come disguised as saints.
ভারত না হয়ে সীমান্তের ওপারে যদি পাকিস্তান হতো তাহলে তারা নিজেরা ডুবে মরলেও কখনোই বাঁধ ছাড়তো না।,"If it were Pakistan instead of India across the border, they’d drown themselves before ever releasing the dam water."
একটু ওয়েট করো মিয়া সিনেমা এখনো বাকি আছে,"Hold on, brother—the movie isn’t over yet!"
কিরে সাকিব তুই দেখি শুদ্ধ করে লিখতে শিখে গেছো,"Hey Sakib, it seems you’ve learned to write properly now!"
নৌকা চুদি,I fuck the boat symbol.
"ওদের ভাসাবো না, পানি খাওয়াবো চুবিয়ে যেন মুত্তে মুত্তে জীবন যায়!",We won’t let them float—we’ll drown them until their lives slowly slip away as they pee their pants!
তাই কি বাংলাদেশ খতি হবে,Really? Will this harm Bangladesh?
সেনাবাহিনী নৌবাহিনী রা এখনো কি করে,What are the Army and Navy doing now?
"অন্তাজে না জেনে গুজব ছাড়ানো কোন শুদ্ধ জন্মের মানুষের কাজ না। ভারতের খবর নেন, ঐখানের কি অবস্থা!",Spreading rumors without knowing the facts is not the work of a well-born person. Check India’s situation—what’s going on there!
আমাদের জন্য সবাই দোয়া করেন অন্তত বৃষ্টি টা যেন না হয়,Pray for us so that at least it doesn’t rain.
আল্লাহ সবাইকে হেফাজত করুন,May Allah protect everyone.
ইউনুসের লুঙ্গি ফাইট্টা জল ঢুইকা গেছে বাংলাদ্যাশে,Yunus’s lungi has torn water has entered Bangladesh.
আর শুনাবে না,There’s nothing more to tell.
আম্মু আব্বু লং মার্চ কি অত ভালো বুঝে না,Mom and dad don’t quite understand the long march very well.
"""সবাইকে বোকাচোদা হতে বারণ করেছেন ড. ইউনূস"" -","""Dr. Yunus has warned everyone not to be an idiot."""
জীবনে ১ম বানান সঠিক,"For the first time in my life, I’ve spelled a word correctly."
ভার্জিন ডট কম,Virgin dot com.
তুমি হাজার ফুলের মাঝে একটি গোলাপ,You are one rose among a thousand flowers.
টিনের চালের বৃষ্টির শব্দ আর উঠোনের জমা পানিতে বৃষ্টিবিলাস ছাদের থেকে ও অনেক ভালো,The sound of rain on a tin roof and playing in the water in the yard is far better than doing it on a terrace.
